municipality,state,code,variable,value
Cintalapa,Chiapas,Coutput/pdfs/07017,"Rango de precipitación","900 – 3 000 mm"
Coapilla,Chiapas,Coutput/pdfs/07018,"Rango de temperatura","18 – 28°C"
Coapilla,Chiapas,Coutput/pdfs/07018,"Rango de precipitación","1000 – 3 500 mm"
Comitán de Domínguez,Chiapas,Coutput/pdfs/07019,"Rango de temperatura","14 – 26°C"
Comitán de Domínguez,Chiapas,Coutput/pdfs/07019,"Rango de precipitación","900 – 1 500 mm"
La Concordia,Chiapas,Coutput/pdfs/07020,"Rango de temperatura","14 – 26°C"
La Concordia,Chiapas,Coutput/pdfs/07020,"Rango de precipitación","1 000 – 4 000 mm"
Copainalá,Chiapas,Coutput/pdfs/07021,"Rango de temperatura","20 – 28°C"
Copainalá,Chiapas,Coutput/pdfs/07021,"Rango de precipitación","900 – 2 500 mm"
Chalchihuitán,Chiapas,Coutput/pdfs/07022,"Rango de temperatura","16 – 26°C"
Chalchihuitán,Chiapas,Coutput/pdfs/07022,"Rango de precipitación","1 500 – 2 500 mm"
Chamula,Chiapas,Coutput/pdfs/07023,"Rango de temperatura","12 – 20°C"
Chamula,Chiapas,Coutput/pdfs/07023,"Rango de precipitación","1 000 – 2 000 mm"
Chanal,Chiapas,Coutput/pdfs/07024,"Rango de temperatura","14 – 22°C"
Chanal,Chiapas,Coutput/pdfs/07024,"Rango de precipitación","1 200 – 2 000 mm"
Chapultenango,Chiapas,Coutput/pdfs/07025,"Rango de temperatura","20 – 26 °C"
Chapultenango,Chiapas,Coutput/pdfs/07025,"Rango de precipitación","3 000 – 4 500 mm"
Chenalhó,Chiapas,Coutput/pdfs/07026,"Rango de temperatura","16 – 26°C"
Chenalhó,Chiapas,Coutput/pdfs/07026,"Rango de precipitación","1 500 – 2 500 mm"
Chiapa de Corzo,Chiapas,Coutput/pdfs/07027,"Rango de temperatura","18 – 28°C"
Chiapa de Corzo,Chiapas,Coutput/pdfs/07027,"Rango de precipitación","900 – 1 500 mm"
Chiapilla,Chiapas,Coutput/pdfs/07028,"Rango de temperatura","22 – 28°C"
Chiapilla,Chiapas,Coutput/pdfs/07028,"Rango de precipitación","900 – 1 500 mm"
Chicoasén,Chiapas,Coutput/pdfs/07029,"Rango de temperatura","22 – 28°C"
Chicoasén,Chiapas,Coutput/pdfs/07029,"Rango de precipitación","900 – 1 200 mm"
Chicomuselo,Chiapas,Coutput/pdfs/07030,"Rango de temperatura","16 – 26°C"
Chicomuselo,Chiapas,Coutput/pdfs/07030,"Rango de precipitación","1 000 – 3 500 mm"
Chilón,Chiapas,Coutput/pdfs/07031,"Rango de temperatura","18 – 26°C"
Chilón,Chiapas,Coutput/pdfs/07031,"Rango de precipitación","1 500 – 3 500 mm"
Escuintla,Chiapas,Coutput/pdfs/07032,"Rango de temperatura","14 – 30°C"
Escuintla,Chiapas,Coutput/pdfs/07032,"Rango de precipitación","2 500 – 4 000 mm"
Francisco León,Chiapas,Coutput/pdfs/07033,"Rango de temperatura","20 – 26°C"
Francisco León,Chiapas,Coutput/pdfs/07033,"Rango de precipitación","2 000 – 4 500 mm"
Frontera Comalapa,Chiapas,Coutput/pdfs/07034,"Rango de temperatura","20 – 26°C"
Frontera Comalapa,Chiapas,Coutput/pdfs/07034,"Rango de precipitación","1 000 – 2 000 mm"
Frontera Hidalgo,Chiapas,Coutput/pdfs/07035,"Rango de temperatura","26 – 30°C"
Frontera Hidalgo,Chiapas,Coutput/pdfs/07035,"Rango de precipitación","1 200 – 2 500 mm"
La Grandeza,Chiapas,Coutput/pdfs/07036,"Rango de temperatura","14 – 20°C"
La Grandeza,Chiapas,Coutput/pdfs/07036,"Rango de precipitación","2 000 – 3 000 mm"
Huehuetán,Chiapas,Coutput/pdfs/07037,"Rango de temperatura","24 – 30°C"
Huehuetán,Chiapas,Coutput/pdfs/07037,"Rango de precipitación","1 500 – 4 500 mm"
Huixtán,Chiapas,Coutput/pdfs/07038,"Rango de temperatura","14 – 22°C"
Huixtán,Chiapas,Coutput/pdfs/07038,"Rango de precipitación","1 200 – 2 000 mm"
Huitiupán,Chiapas,Coutput/pdfs/07039,"Rango de temperatura","18 – 26°C"
Huitiupán,Chiapas,Coutput/pdfs/07039,"Rango de precipitación","1 500 – 4 000 mm"
Huixtla,Chiapas,Coutput/pdfs/07040,"Rango de temperatura","20 – 30°C"
Huixtla,Chiapas,Coutput/pdfs/07040,"Rango de precipitación","1 500 – 4 000 mm"
La Independencia,Chiapas,Coutput/pdfs/07041,"Rango de temperatura","16 – 24°C"
La Independencia,Chiapas,Coutput/pdfs/07041,"Rango de precipitación","900 – 3 500 mm"
Ixhuatán,Chiapas,Coutput/pdfs/07042,"Rango de temperatura","16 – 26°C"
Ixhuatán,Chiapas,Coutput/pdfs/07042,"Rango de precipitación","3 500 – 4 500 mm"
Ixtacomitán,Chiapas,Coutput/pdfs/07043,"Rango de temperatura","20 – 26°C"
Ixtacomitán,Chiapas,Coutput/pdfs/07043,"Rango de precipitación","4 000 – 4 500 mm"
Ixtapa,Chiapas,Coutput/pdfs/07044,"Rango de temperatura","16 – 24°C"
Ixtapa,Chiapas,Coutput/pdfs/07044,"Rango de precipitación","1 000 – 1 500 mm"
Ixtapangajoya,Chiapas,Coutput/pdfs/07045,"Rango de temperatura","22 – 26°C"
Ixtapangajoya,Chiapas,Coutput/pdfs/07045,"Rango de precipitación","3 500 – 4 500 mm"
Jiquipilas,Chiapas,Coutput/pdfs/07046,"Rango de temperatura","16 – 26°C"
Jiquipilas,Chiapas,Coutput/pdfs/07046,"Rango de precipitación","900 – 3 000 mm"
Jitotol,Chiapas,Coutput/pdfs/07047,"Rango de temperatura","16 – 28°C"
Jitotol,Chiapas,Coutput/pdfs/07047,"Rango de precipitación","1 200 – 3 000 mm"
Juárez,Chiapas,Coutput/pdfs/07048,"Rango de temperatura","24 – 28°C"
Juárez,Chiapas,Coutput/pdfs/07048,"Rango de precipitación","2 000 – 4 000 mm"
Larráinzar,Chiapas,Coutput/pdfs/07049,"Rango de temperatura","12 – 24°C"
Larráinzar,Chiapas,Coutput/pdfs/07049,"Rango de precipitación","1 000 – 2 500 mm"
La Libertad,Chiapas,Coutput/pdfs/07050,"Rango de temperatura","24 – 26°C"
La Libertad,Chiapas,Coutput/pdfs/07050,"Rango de precipitación","1 500 – 3 000 mm"
Mapastepec,Chiapas,Coutput/pdfs/07051,"Rango de temperatura","14 – 30°C"
Mapastepec,Chiapas,Coutput/pdfs/07051,"Rango de precipitación","1 500 – 4 000 mm"
Las Margaritas,Chiapas,Coutput/pdfs/07052,"Rango de temperatura","14 – 26°C"
Las Margaritas,Chiapas,Coutput/pdfs/07052,"Rango de precipitación","1 000 – 3 500 mm"
Mazapa de Madero,Chiapas,Coutput/pdfs/07053,"Rango de temperatura","12 – 24°C"
Mazapa de Madero,Chiapas,Coutput/pdfs/07053,"Rango de precipitación","1 000 – 4 500 mm"
Mazatán,Chiapas,Coutput/pdfs/07054,"Rango de temperatura","26 – 30°C"
Mazatán,Chiapas,Coutput/pdfs/07054,"Rango de precipitación","1 200 – 2 000 mm"
Metapa,Chiapas,Coutput/pdfs/07055,"Rango de temperatura","26 – 28°C"
Metapa,Chiapas,Coutput/pdfs/07055,"Rango de precipitación","1 500 – 3 500 mm"
Mitontic,Chiapas,Coutput/pdfs/07056,"Rango de temperatura","14 – 20°C"
Mitontic,Chiapas,Coutput/pdfs/07056,"Rango de precipitación","1 500 – 2 500 mm"
Motozintla,Chiapas,Coutput/pdfs/07057,"Rango de temperatura","12 – 26°C"
Motozintla,Chiapas,Coutput/pdfs/07057,"Rango de precipitación","1 000 – 4 500 mm"
Nicolás Ruíz,Chiapas,Coutput/pdfs/07058,"Rango de temperatura","22 – 26°C"
Nicolás Ruíz,Chiapas,Coutput/pdfs/07058,"Rango de precipitación","1 000 – 1 500 mm"
Ocosingo,Chiapas,Coutput/pdfs/07059,"Rango de temperatura","18 – 28°C"
Ocosingo,Chiapas,Coutput/pdfs/07059,"Rango de precipitación","1 500 – 3 500 mm"
Ocotepec,Chiapas,Coutput/pdfs/07060,"Rango de temperatura","18 – 26°C"
Ocotepec,Chiapas,Coutput/pdfs/07060,"Rango de precipitación","2 000 – 4 000 mm"
Ocozocoautla de Espinosa,Chiapas,Coutput/pdfs/07061,"Rango de temperatura","20 – 28°C"
Ocozocoautla de Espinosa,Chiapas,Coutput/pdfs/07061,"Rango de precipitación","900 – 3 000 mm"
Ostuacán,Chiapas,Coutput/pdfs/07062,"Rango de temperatura","22 – 26°C"
Ostuacán,Chiapas,Coutput/pdfs/07062,"Rango de precipitación","2 500 – 4 500 mm"
Osumacinta,Chiapas,Coutput/pdfs/07063,"Rango de temperatura","20 – 28°C"
Osumacinta,Chiapas,Coutput/pdfs/07063,"Rango de precipitación","900 – 1 500 mm"
Oxchuc,Chiapas,Coutput/pdfs/07064,"Rango de temperatura","16 – 22°C"
